STATION,DATE,TEMP,MAX,MIN,Celsius
RP000098755,2017-12-06,80.78,86.00,,27
RP000098755,2017-12-07,80.42,87.98,73.58,27
RP000098755,2017-12-08,81.86,87.62,73.04,28
RP000098755,2017-12-09,82.40,90.86,75.38,28
RP000098755,2017-12-10,81.86,88.88,76.10,28
RP000098755,2017-12-11,78.98,83.30,,26
RP000098755,2017-12-12,79.16,86.72,75.74,26
RP000098755,2017-12-13,81.14,89.24,75.20,27
RP000098755,2017-12-14,79.70,84.74,,26
RP000098755,2017-12-15,78.26,85.46,,26
RP000098755,2017-12-16,81.32,91.40,,27
RP000098755,2017-12-17,82.58,90.14,73.76,28
RP000098755,2017-12-18,81.50,,75.92,28
RP000098755,2017-12-19,80.06,84.92,75.56,27
RP000098755,2017-12-20,80.24,87.44,75.38,27
RP000098755,2017-12-21,77.54,,,25
RP000098755,2017-12-22,81.86,84.38,72.50,28
RP000098755,2017-12-23,80.96,85.10,,27
RP000098755,2017-12-24,80.06,87.62,,27
RP000098755,2017-12-25,80.24,86.54,74.66,27
RP000098755,2017-12-26,81.14,86.72,76.28,27
RP000098755,2017-12-27,77.54,79.70,75.38,25
RP000098755,2017-12-28,80.60,86.18,74.66,27
RP000098755,2017-12-29,79.88,86.18,,27
RP000098755,2017-12-30,79.52,86.72,72.86,26
RP000098755,2017-12-31,80.24,86.18,75.74,27
RP000098755,2018-01-01,77.18,84.20,,25
RP000098755,2018-01-02,81.32,87.44,,27
RP000098755,2018-01-03,81.68,87.62,76.10,28
RP000098755,2018-01-04,80.60,86.18,,27
RP000098755,2018-01-05,80.06,86.00,75.74,27
RP000098755,2018-01-06,80.60,90.86,73.76,27
RP000098755,2018-01-07,80.06,85.10,,27
RP000098755,2018-01-08,78.98,86.00,75.74,26
RP000098755,2018-01-09,75.92,81.14,,24
RP000098755,2018-01-10,79.88,86.18,72.32,27
RP000098755,2018-01-11,80.78,86.18,75.20,27
RP000098755,2018-01-12,80.42,87.44,75.02,27
RP000098755,2018-01-13,77.18,89.24,75.74,25
RP000098755,2018-01-14,75.56,79.16,,24
RP000098755,2018-01-15,77.00,81.86,72.68,25
RP000098755,2018-01-16,76.64,83.12,,25
RP000098755,2018-01-17,79.34,86.36,70.70,26
RP000098755,2018-01-18,75.02,85.82,,24
RP000098755,2018-01-19,78.80,85.10,71.06,26
RP000098755,2018-01-20,79.52,86.00,74.48,26
RP000098755,2018-01-21,75.38,83.66,73.76,24
RP000098755,2018-01-22,78.08,82.76,74.12,26
RP000098755,2018-01-23,78.08,86.36,73.40,26
RP000098755,2018-01-24,77.54,85.64,,25
RP000098755,2018-01-25,79.52,87.08,71.96,26
RP000098755,2018-01-26,79.88,85.64,74.48,27
RP000098755,2018-01-27,80.24,88.52,74.48,27
RP000098755,2018-01-28,79.52,85.82,74.12,26
RP000098755,2018-01-29,79.16,85.46,,26
RP000098755,2018-01-30,78.26,86.72,,26
RP000098755,2018-01-31,78.08,86.90,71.24,26
RP000098755,2018-02-01,79.34,87.08,72.14,26
RP000098755,2018-02-02,77.18,82.40,,25
RP000098755,2018-02-03,78.26,85.28,,26
RP000098755,2018-02-04,81.14,88.16,72.68,27
RP000098755,2018-02-05,80.42,88.88,76.10,27
RP000098755,2018-02-06,80.06,90.68,,27
RP000098755,2018-02-07,78.62,88.70,,26
RP000098755,2018-02-08,80.78,90.50,74.30,27
RP000098755,2018-02-09,79.88,90.32,,27
RP000098755,2018-02-10,79.52,92.30,73.22,26
RP000098755,2018-02-11,81.14,89.24,72.50,27
RP000098755,2018-02-12,77.18,88.16,75.20,25
RP000098755,2018-02-13,82.94,89.78,74.66,28
RP000098755,2018-02-14,82.58,86.90,75.38,28
RP000098755,2018-02-15,80.24,86.36,,27
RP000098755,2018-02-16,79.52,85.82,74.12,26
RP000098755,2018-02-17,80.42,87.62,,27
RP000098755,2018-02-18,76.82,80.78,74.30,25
RP000098755,2018-02-19,79.16,86.36,74.48,26
RP000098755,2018-02-20,81.32,87.98,73.40,27
RP000098755,2018-02-21,80.24,88.70,74.30,27
RP000098755,2018-02-22,80.78,86.00,73.22,27
RP000098755,2018-02-23,80.60,86.90,,27
RP000098755,2018-02-24,74.30,76.10,,23
RP000098755,2018-02-25,77.18,83.30,72.68,25
RP000098755,2018-02-26,80.42,85.10,73.76,27
RP000098755,2018-02-27,79.70,85.46,75.02,26
RP000098755,2018-02-28,79.88,86.00,74.48,27
RP000098755,2018-03-01,80.60,85.28,75.38,27
RP000098755,2018-03-02,80.96,86.18,,27
RP000098755,2018-03-03,80.24,88.34,,27
RP000098755,2018-03-04,78.98,86.18,73.22,26
RP000098755,2018-03-05,81.50,87.44,73.40,28
RP000098755,2018-03-06,79.88,86.36,73.76,27
RP000098755,2018-03-07,80.42,86.36,74.66,27
RP000098755,2018-03-08,80.24,86.72,73.76,27
RP000098755,2018-03-09,79.88,87.80,73.22,27
RP000098755,2018-03-10,80.42,87.44,72.50,27
RP000098755,2018-03-11,81.32,86.72,,27
RP000098755,2018-03-12,80.42,86.90,73.76,27
RP000098755,2018-03-13,81.86,,74.12,28
RP000098755,2018-03-14,79.34,,73.58,26
RP000098755,2018-03-15,79.52,89.06,73.76,26
RP000098755,2018-03-16,82.40,90.86,74.30,28
RP000098755,2018-03-17,80.60,88.34,,27
RP000098755,2018-03-18,80.78,87.62,,27
RP000098755,2018-03-19,75.02,79.70,,24
RP000098755,2018-03-20,78.62,85.64,71.60,26
RP000098755,2018-03-21,78.62,,,26
RP000098755,2018-03-22,79.16,87.08,71.42,26
RP000098755,2018-03-23,78.44,85.64,73.04,26
RP000098755,2018-03-24,79.16,86.90,,26
RP000098755,2018-03-25,80.96,87.98,74.48,27
RP000098755,2018-03-26,79.16,84.74,,26
RP000098755,2018-03-27,78.80,87.80,,26
RP000098755,2018-03-28,82.04,92.30,68.72,28
RP000098755,2018-03-29,81.32,89.60,74.12,27
RP000098755,2018-03-30,81.32,90.50,72.50,27
RP000098755,2018-03-31,77.90,85.10,,26
RP000098755,2018-04-01,82.04,90.86,72.50,28
RP000098755,2018-04-02,82.94,,74.48,28
RP000098755,2018-04-03,81.32,91.04,75.20,27
RP000098755,2018-04-04,81.14,86.90,75.02,27
RP000098755,2018-04-05,78.98,86.54,,26
RP000098755,2018-04-06,80.06,86.90,70.88,27
RP000098755,2018-04-07,81.50,89.42,73.04,28
RP000098755,2018-04-08,82.22,90.50,75.56,28
RP000098755,2018-04-09,82.76,90.68,75.20,28
RP000098755,2018-04-10,80.78,87.26,75.20,27
RP000098755,2018-04-11,80.96,,,27
RP000098755,2018-04-12,80.60,87.08,75.38,27
RP000098755,2018-04-13,82.22,87.62,74.66,28
RP000098755,2018-04-14,83.12,87.62,77.36,28
RP000098755,2018-04-15,79.34,86.00,,26
RP000098755,2018-04-16,79.88,85.82,75.56,27
RP000098755,2018-04-17,80.42,88.34,75.20,27
RP000098755,2018-04-18,78.08,82.40,,26
RP000098755,2018-04-19,80.42,88.70,73.22,27
RP000098755,2018-04-20,80.24,86.72,,27
RP000098755,2018-04-21,79.52,89.96,74.30,26
RP000098755,2018-04-22,81.14,88.52,73.76,27
RP000098755,2018-04-23,82.22,89.96,75.20,28
RP000098755,2018-04-24,81.86,87.98,74.84,28
RP000098755,2018-04-25,81.32,90.50,74.84,27
RP000098755,2018-04-26,82.76,89.78,75.38,28
RP000098755,2018-04-27,80.24,88.70,,27
RP000098755,2018-04-28,81.50,89.60,75.20,28
RP000098755,2018-04-29,82.04,90.50,74.30,28
RP000098755,2018-04-30,82.94,91.76,75.20,28
RP000098755,2018-05-01,82.22,89.24,76.10,28
RP000098755,2018-05-02,79.88,87.80,,27
RP000098755,2018-05-03,81.50,90.86,74.84,28
RP000098755,2018-05-04,81.86,89.96,75.56,28
RP000098755,2018-05-05,82.22,89.60,,28
RP000098755,2018-05-06,82.58,88.16,,28
RP000098755,2018-05-07,82.76,90.50,75.92,28
RP000098755,2018-05-08,82.76,92.30,,28
RP000098755,2018-05-09,82.04,90.32,75.38,28
RP000098755,2018-05-10,81.14,88.52,,27
RP000098755,2018-05-11,83.48,89.96,73.94,29
RP000098755,2018-05-12,83.48,90.50,76.28,29
RP000098755,2018-05-13,83.84,90.14,77.54,29
RP000098755,2018-05-14,84.38,92.30,77.36,29
RP000098755,2018-05-15,84.74,92.30,77.18,29
RP000098755,2018-05-16,82.58,90.14,,28
RP000098755,2018-05-17,82.94,89.78,76.64,28
RP000098755,2018-05-18,83.84,93.02,76.28,29
RP000098755,2018-05-19,83.66,92.30,76.82,29
RP000098755,2018-05-20,82.94,91.22,,28
RP000098755,2018-05-21,84.02,93.20,75.20,29
RP000098755,2018-05-22,84.20,92.84,76.28,29
RP000098755,2018-05-23,84.02,93.20,76.10,29
RP000098755,2018-05-24,84.20,91.94,77.00,29
RP000098755,2018-05-25,79.70,84.92,,26
RP000098755,2018-05-26,83.30,88.88,75.20,28
RP000098755,2018-05-27,82.94,93.02,77.00,28
RP000098755,2018-05-28,83.12,91.04,,28
RP000098755,2018-05-29,81.68,92.30,74.66,28
RP000098755,2018-05-30,76.64,81.14,,25
RP000098755,2018-05-31,81.68,90.86,72.86,28
RP000098755,2018-06-01,82.22,91.22,74.84,28
RP000098755,2018-06-02,79.88,86.54,75.92,27
RP000098755,2018-06-03,82.40,92.12,77.00,28
RP000098755,2018-06-04,84.02,91.40,76.10,29
RP000098755,2018-06-05,81.50,86.00,,28
RP000098755,2018-06-06,80.60,89.60,,27
RP000098755,2018-06-07,86.18,96.08,76.64,30
RP000098755,2018-06-08,85.82,93.56,78.62,30
RP000098755,2018-06-09,85.28,94.10,,30
RP000098755,2018-06-10,85.82,93.92,77.54,30
RP000098755,2018-06-11,85.28,95.00,,30
RP000098755,2018-06-12,83.66,94.64,,29
RP000098755,2018-06-13,83.48,94.28,73.76,29
RP000098755,2018-06-14,82.40,92.66,74.84,28
RP000098755,2018-06-15,82.58,93.20,75.02,28
RP000098755,2018-06-16,81.68,93.02,75.20,28
RP000098755,2018-06-17,81.32,92.84,75.02,27
RP000098755,2018-06-18,79.88,91.04,,27
RP000098755,2018-06-19,82.76,92.30,72.50,28
RP000098755,2018-06-20,80.24,93.20,,27
RP000098755,2018-06-21,80.78,92.30,73.76,27
