STATION,DATE,TEMP,MAX,MIN,Celsius
RPM00098646,2017-08-03,84.02,91.04,,29
RPM00098646,2017-08-04,82.04,90.68,,28
RPM00098646,2017-08-05,84.92,92.12,77.00,29
RPM00098646,2017-08-06,83.84,,,29
RPM00098646,2017-08-07,82.58,91.76,,28
RPM00098646,2017-08-08,83.84,91.40,75.92,29
RPM00098646,2017-08-09,84.02,92.84,76.10,29
RPM00098646,2017-08-10,84.02,92.84,76.64,29
RPM00098646,2017-08-11,84.02,,76.64,29
RPM00098646,2017-08-12,83.66,92.12,77.90,29
RPM00098646,2017-08-13,83.48,,77.72,29
RPM00098646,2017-08-14,83.84,,,29
RPM00098646,2017-08-15,83.48,88.34,76.64,29
RPM00098646,2017-08-16,81.32,86.18,76.10,27
RPM00098646,2017-08-17,82.22,88.34,,28
RPM00098646,2017-08-18,82.58,91.76,76.64,28
RPM00098646,2017-08-19,82.40,86.54,75.20,28
RPM00098646,2017-08-20,82.04,89.78,77.00,28
RPM00098646,2017-08-21,81.68,89.06,77.00,28
RPM00098646,2017-08-22,84.02,91.22,77.72,29
RPM00098646,2017-08-23,82.76,,,28
RPM00098646,2017-08-24,80.06,87.08,75.20,27
RPM00098646,2017-08-25,81.14,88.34,75.20,27
RPM00098646,2017-08-26,82.76,91.40,76.28,28
RPM00098646,2017-08-27,83.12,89.78,76.64,28
RPM00098646,2017-08-28,81.86,87.44,,28
RPM00098646,2017-08-29,83.66,,75.92,29
RPM00098646,2017-08-30,84.56,91.40,77.36,29
RPM00098646,2017-08-31,84.56,91.40,,29
RPM00098646,2017-09-01,84.74,91.04,78.80,29
RPM00098646,2017-09-02,84.56,93.38,,29
RPM00098646,2017-09-03,84.38,92.66,78.80,29
RPM00098646,2017-09-04,83.66,90.50,78.80,29
RPM00098646,2017-09-05,82.94,92.84,,28
RPM00098646,2017-09-06,83.84,91.58,75.02,29
RPM00098646,2017-09-07,84.92,91.40,75.38,29
RPM00098646,2017-09-08,83.66,90.68,,29
RPM00098646,2017-09-09,81.68,,76.10,28
RPM00098646,2017-09-10,81.14,,77.00,27
RPM00098646,2017-09-11,82.22,89.60,,28
RPM00098646,2017-09-12,84.74,90.32,78.80,29
RPM00098646,2017-09-13,82.94,91.04,,28
RPM00098646,2017-09-14,83.30,89.78,,28
RPM00098646,2017-09-15,81.68,89.60,77.00,28
RPM00098646,2017-09-16,82.04,90.86,,28
RPM00098646,2017-09-17,82.58,89.78,73.58,28
RPM00098646,2017-09-18,82.22,89.06,77.72,28
RPM00098646,2017-09-19,80.96,90.68,,27
RPM00098646,2017-09-20,80.96,87.98,75.56,27
RPM00098646,2017-09-21,80.42,89.60,75.92,27
RPM00098646,2017-09-22,79.16,89.24,,26
RPM00098646,2017-09-23,81.14,,75.20,27
RPM00098646,2017-09-24,81.68,88.16,76.10,28
RPM00098646,2017-09-25,77.54,83.48,74.48,25
RPM00098646,2017-09-26,82.58,90.32,,28
RPM00098646,2017-09-27,83.12,90.32,,28
RPM00098646,2017-09-28,81.86,88.70,76.28,28
